Раздел A;;ПРОДУКЦИЯ СЕЛЬСКОГО ХОЗЯЙСТВА, ОХОТЫ И ЛЕСНОГО ХОЗЯЙСТВА;
Подраздел AА;;ПРОДУКЦИЯ СЕЛЬСКОГО ХОЗЯЙСТВА, ОХОТЫ И ЛЕСНОГО ХОЗЯЙСТВА;
01.22.720;Тонна;Тонкий волос животных, не подвергнутый кардо- и гребнечесанию;G
01.22.730;Тонна;Грубый волос животных, не подвергнутый кардо- и гребнечесанию;G
01.22.740;Тонна;Конский волос и его отходы, в том числе в виде полотна на подложке или без нее;G
01.22.990;;Прочие виды товаров, относящиеся к группировке 01.22.000;G
01.23.000;;Живые свиньи;
01.23.110;Голова;Чистопородные племенные свиньи;G
01.23.120;Голова;Свиньи основного стада, кроме чистопородных;G
01.23.130;Голова;Ремонтные свинки;G
01.23.140;Голова;Ремонтные хрячки;G
01.23.150;Голова;Молодняк свиней до 4 месяцев;G
01.23.160;Голова;Свиньи на откорме;G
01.23.170;Голова;Дикие свиньи;G
01.23.990;Голова;Прочие виды товаров, относящиеся к группировке 01.23.000;G
01.24.000;;Живая сельскохозяйственная птица и яйца;
01.24.110;Голова;Куры родительского стада племенного разведения;G
01.24.120;Голова;Куры яичных пород родительского стада, кроме племенного разведения;G
01.24.130;Голова;Куры яичных пород промышленного стада;G
01.24.140;Голова;Куры мясных и мясо-яичных пород;G
01.24.150;Голова;Гуси;G
01.24.160;Голова;Утки;G
01.24.170;Голова;Индейки;G
01.24.210;Голова;Цесарки;G
01.24.220;Голова;Перепелки;G
01.24.310;;Яйца в скорлупе;
01.24.311;Тысяча штук;Куриные яйца;G
01.24.312;Тысяча штук;Яйца гусей;G
01.24.313;Тысяча штук;Яйца уток;G
01.24.314;Тысяча штук;Яйца индеек;G
01.24.315;Тысяча штук;Яйца цесарок;G
01.24.316;Тысяча штук;Яйца перепелок;G
01.24.990;;Прочие виды товаров, относящиеся к группировке 01.24.000;G
01.25.000;;Прочие живые животные и продукция их разведения;
01.25.110;Голова;Северные олени;G
01.25.120;Голова;Пятнистые олени;G
01.25.130;Голова;Олени - маралы;G
01.25.140;Голова;Прочие виды оленей;G
01.25.150;Голова;Верблюды-дромедары (одногорбые);G
01.25.160;Голова;Верблюды-бактрианы (двугорбые);G
01.25.170;Голова;Домашние кролики;G
01.25.180;Голова;Пушные звери клеточного разведения, кроме домашних кроликов;G
01.25.210;Голова;Живые животные для научно-исследовательских целей;G
01.25.220;Голова;Млекопитающие, не включенные в другие группировки, кроме используемых для научно-исследовательских целей;G
01.25.250;Килограмм;Медоносные пчелы;G
01.25.260;Килограмм;Тутовый шелкопряд;G
01.25.270;Голова;Прочие живые животные, не включенные в другие группировки;G
01.25.310;Тонна;Натуральный пчелиный мед;G
01.25.320;Тонна;Натуральный мед прочих насекомых;G
01.25.330;Килограмм;Улитки, кроме морских улиток (липариса);G
01.25.340;Килограмм;Свежие, охлажденные или мороженые лапки лягушек;G
01.25.350;"Литр; кубический дециметр";Сырое кобылье, верблюжье молоко, молоко прочих животных, не включенное в другие группировки;G
01.25.410;Килограмм;Племенные коконы шелкопряда, пригодные для разматывания;G
01.25.420;Килограмм;Гибридные коконы шелкопряда, пригодные для разматывания;G
01.25.430;Килограмм;Племенные грена шелкопряда;G
01.25.440;Килограмм;Гибридные грена шелкопряда;G
01.25.450;Тонна;Воск насекомых;G
01.25.460;Тонна;Спермацет;G
01.25.510;;Пушно-меховое сырье (невыделанные шкурки), кроме шкурок смушковых ягнят;
01.25.511;Квадратный дециметр;Шкурки норки;G
01.25.512;Квадратный дециметр;Шкурки кролика и зайца;G
01.25.513;Квадратный дециметр;Шкурки лисицы;G
01.25.514;Квадратный дециметр;Шкуры тюленя;G
01.25.515;Квадратный дециметр;Шкурки калана и нутрии;G
01.25.516;Квадратный дециметр;Шкурки животных семейства куньих, кроме калана и норки;G
01.25.517;Квадратный дециметр;Шкурки животных семейства беличьих;G
01.25.518;Квадратный дециметр;Шкурки бобра;G
01.25.520;Штука;Головы, хвосты и лапы и другие части или обрезки шкурок, пригодные для изготовления меховых изделий;G
01.25.530;Штука;Чистопородный, невыделанный каракуль;G
01.25.540;Штука;Невыделанный каракуль-метис всех цветов;G
01.25.550;Штука;Невыделанная смушка;G
01.25.610;Квадратный дециметр;Шкуры свиней;G
01.25.620;Квадратный дециметр;Шкуры пресмыкающихся (рептилий);G
01.25.630;Квадратный дециметр;Шкуры и кожи прочих животных, не включенные в другие группировки;G
01.25.990;;Прочие виды товаров, относящиеся к группировке 01.25.000;G
01.4;;Услуги в области растениеводства и животноводства, кроме ветеринарных услуг, услуги в области декоративного садоводства;
01.41.000;;"Услуги, связанные с выращиванием сельскохозяйственных культур; услуги, связанные с декоративным садоводством";
01.41.110;;Услуги, связанные с полеводством;S
01.41.120;;Услуги по проведению работ в овощеводстве открытого грунта;S
01.41.130;;Услуги по проведению работ в защищенном грунте;S
01.41.140;;Услуги по проведению агромелиоративных работ;S
01.41.150;;Услуги по защите растений от болезней и вредителей;S
01.41.160;;Услуги по подготовке и внесению удобрений;S
01.41.170;;Услуги по снегозадержанию;S
01.41.210;;Услуги, связанные с работами в садах, на виноградниках и на плантациях других многолетних насаждений;S
01.41.220;;Услуги по устройству газонов, парков и аналогичных насаждений и уходу за ними;S
01.41.230;;Услуги по погрузке, разгрузке и транспортированию продукции садов, парков и аналогичны насаждений;S
01.41.240;;Услуги по защите насаждений от болезней и вредителей;S
