Общемосковские классификаторы	http://www.mosclassific.ru/mClass/omk_list.php	"Общемосковские классификаторы на сайте классификаторов ГУП ""Московский социальный реестр"""	russia, government, classifiers	RU	Каталог массивов данных	XML, DBF, XLS, HTML(table)														
Общемосковский классификатор улиц	http://www.mosclassific.ru/mClass/omkum_load.php	Общемосковский классификатор улиц	russia, government, classifiers	RU	Каталог массивов данных	XML, DBF, XLS, HTML(table)														
Общемосковский классификатор территориальных единиц Москвы	http://www.mosclassific.ru/mClass/omkte_load.php	Общемосковский классификатор территориальных единиц Москвы	russia, government, classifiers	RU	Каталог массивов данных	XML, DBF, XLS, HTML(table)														
Общемосковский классификатор муниципальных образований Москвы	http://www.mosclassific.ru/mClass/omkmo_load.php	Общемосковский классификатор муниципальных образований Москвы	russia, government, classifiers	RU	Каталог массивов данных	XML, DBF, XLS, HTML(table)														
Общемосковский классификатор типов информационных ресурсов [ОМК ИР]	http://www.mosclassific.ru/mClass/omkir_load.php	Общемосковский классификатор типов информационных ресурсов [ОМК ИР]	russia, government, classifiers	RU	Каталог массивов данных	XML, DBF, XLS, HTML(table)														
Общемосковский классификатор информации об общемосковских классификаторах [ОКОК М]	http://www.mosclassific.ru/mClass/okokm_load.php	Общемосковский классификатор информации об общемосковских классификаторах [ОКОК М]	russia, government, classifiers	RU	Каталог массивов данных	XML, DBF, XLS, HTML(table)														
Общемосковский классификатор территорий Москвы [ОМК ТМ]	http://www.mosclassific.ru/mClass/omktm_load.php	Общемосковский классификатор территорий Москвы [ОМК ТМ]	russia, government, classifiers	RU	Каталог массивов данных	XML, DBF, XLS, HTML(table)														
Общероссийский классификатор объектов административно - территориального деления [ОКАТО]	http://www.mosclassific.ru/mClass/okato_view.php	Общероссийский классификатор объектов административно - территориального деления [ОКАТО]	russia, government, classifiers, geo, okato	RU	Форма поиска	HTML														
Общероссийский классификатор валют [ОКВ]	http://www.mosclassific.ru/mClass/okv_view.php	Общероссийский классификатор валют [ОКВ]	russia, government, classifiers, finances	RU	Форма поиска	HTML														
Общероссийский классификатор видов грузов, упаковки и упаковочных материалов [ОКВГУМ]	http://www.mosclassific.ru/mClass/okvgum_view.php	Общероссийский классификатор видов грузов, упаковки и упаковочных материалов [ОКВГУМ]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор видов экономической деятельности [ОКВЭД]	http://www.mosclassific.ru/mClass/okved_view.php	Общероссийский классификатор видов экономической деятельности [ОКВЭД]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор гидроэнергетических ресурсов [ОКГР]	http://www.mosclassific.ru/mClass/okgr_view.php	Общероссийский классификатор гидроэнергетических ресурсов [ОКГР]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор видов экономической деятельности, продукции и услуг [ОКДП]	http://www.mosclassific.ru/mClass/okdp_view.php	Общероссийский классификатор видов экономической деятельности, продукции и услуг [ОКДП]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор единиц измерения [ОКЕИ]	http://www.mosclassific.ru/mClass/okei_view.php	Общероссийский классификатор единиц измерения [ОКЕИ]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор занятий [ОКЗ]	http://www.mosclassific.ru/mClass/okz_view.php	Общероссийский классификатор занятий [ОКЗ]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор информации о населении [ОКИН]	http://www.mosclassific.ru/mClass/okin_view.php	Общероссийский классификатор информации о населении [ОКИН]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор информации по социальной защите населения [ОКИСЗН]	http://www.mosclassific.ru/mClass/okiszn_view.php	Общероссийский классификатор информации по социальной защите населения [ОКИСЗН]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор начального профессионального образования [ОКНПО]	http://www.mosclassific.ru/mClass/oknpo_view.php	Общероссийский классификатор начального профессионального образования [ОКНПО]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор органов государственной власти и управления [ОКОГУ]	http://www.mosclassific.ru/mClass/okogu_view.php	Общероссийский классификатор органов государственной власти и управления [ОКОГУ]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор информации об общероссийских классификаторах [ОКОК]	http://www.mosclassific.ru/mClass/okok_view.php	Общероссийский классификатор информации об общероссийских классификаторах [ОКОК]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор организационно-правовых форм [ОКОПФ]	http://www.mosclassific.ru/mClass/okopf_view.php	Общероссийский классификатор организационно-правовых форм [ОКОПФ]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор основных фондов [ОКОФ]	http://www.mosclassific.ru/mClass/okof_view.php	Общероссийский классификатор основных фондов [ОКОФ]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор продукции [ОКП]	http://www.mosclassific.ru/mClass/okp_view.php	Общероссийский классификатор продукции [ОКП]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор профессий рабочих, должностей служащих и тарифных разрядов [ОКПДТР]	http://www.mosclassific.ru/mClass/okpdtr_view.php	Общероссийский классификатор профессий рабочих, должностей служащих и тарифных разрядов [ОКПДТР]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор полезных ископаемых и подземных вод [ОКПИиПВ]	http://www.mosclassific.ru/mClass/okpi_view.php	Общероссийский классификатор полезных ископаемых и подземных вод [ОКПИиПВ]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор стандартов [ОКС]	http://www.mosclassific.ru/mClass/oks_view.php	Общероссийский классификатор стандартов [ОКС]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор специальностей высшей научной квалификации [ОКСВНК]	http://www.mosclassific.ru/mClass/oksvnk_view.php	Общероссийский классификатор специальностей высшей научной квалификации [ОКСВНК]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор стран мира [ОКСМ]	http://www.mosclassific.ru/mClass/oksm_view.php	Общероссийский классификатор стран мира [ОКСМ]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор специальностей по образованию [ОКСО]	http://www.mosclassific.ru/mClass/okso_view.php	Общероссийский классификатор специальностей по образованию [ОКСО]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор территорий муниципальных образований [ОКТМО]	http://www.mosclassific.ru/mClass/oktmo_view.php	Общероссийский классификатор территорий муниципальных образований [ОКТМО]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор управленческой документации [ОКУД]	http://www.mosclassific.ru/mClass/okud_view.php	Общероссийский классификатор управленческой документации [ОКУД]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор услуг населению [ОКУН]	http://www.mosclassific.ru/mClass/okun_view.php	Общероссийский классификатор услуг населению [ОКУН]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор форм собственности [ОКФС]	http://www.mosclassific.ru/mClass/okfs_view.php	Общероссийский классификатор форм собственности [ОКФС]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор экономических регионов [ОКЭР]	http://www.mosclassific.ru/mClass/oker_view.php	Общероссийский классификатор экономических регионов [ОКЭР]	russia, government, classifiers	RU	Форма поиска	HTML														
Уполномоченные органы Центробанка	http://www.cbr.ru/credit/list_reg.asp	Уполномоченные органы Центробанка	russia, government, finances	RU	Массив данных	HTML(table)														
Территориальные органы казначейства	http://www.roskazna.ru/p/fk/ter_organs.html	Территориальные органы казначейства	russia, government, finances	RU	Массив данных	XLS														
Отчетность об исполнении Федерального бюджета РФ	http://www.roskazna.ru/reports/fb.html	Отчетность об исполнении Федерального бюджета РФ	russia, government, finances	RU	Каталог массивов данных	XLS														
Федеральный реестр контрактов - поиск	http://reestrgk.roskazna.ru	Федеральный реестр контрактов - поиск	russia, government, finances	RU	Форма поиска	HTML														
Федеральный реестр контрактов до 2006 года	http://frgk.economy.gov.ru/	Федеральный реестр контрактов до 2006 года	russia, government, finances	RU	Форма поиска	HTML														
Реестр недобросовестных поставщиков	http://rnp.fas.gov.ru/	Реестр недобросовестных поставщиков	russia, government, finances	RU	Форма поиска	HTML														
Реестр жалоб в ФАС	http://rnp.fas.gov.ru/complaint/	Реестр жалоб в ФАС	russia, government, finances	RU	Форма поиска	HTML														
Территориальные банки Сбербанка	http://www.sbrf.ru/ru/about/branch/territorial_banks/	Территориальные банки Сбербанка	russia, finances, sberbank	RU	Массив данных	HTML(table)														
Подразделения Сбербанка	http://www.sbrf.ru/ru/about/branch/list_branch/	Подразделения Сбербанка	russia, finances, sberbank	RU	Форма поиска	HTML														
Банкоматы Сбербанка	http://www.sbrf.ru/ru/about/branch/atm/	Банкоматы Сбербанка	russia, finances, sberbank	RU	Массив данных	XLS														
Торгово-сервисные точки, принимающие карты СБЕРКАРТ	http://www.sbrf.ru/ru/about/branch/unit/	Торгово-сервисные точки, принимающие карты СБЕРКАРТ	russia, finances, sberbank	RU	Массив данных	XLS														
Пункты выдачи наличных Сбербанка	http://www.sbrf.ru/ru/about/branch/office/	Пункты выдачи наличных Сбербанка	russia, finances, sberbank	RU	Массив данных	XLS														
Государственный реестр бюро кредитных историй	http://www.ffms.ru/catalog.asp?ob_no=24284	Государственный реестр бюро кредитных историй	russia, government, finances, ffms	RU	Массив данных	HTML(table)														
Сведения о негосударственных пенсионных фондах, осуществляющих обязательное пенсионное страхование	http://www.ffms.ru/catalog.asp?ob_no=36686	Сведения о негосударственных пенсионных фондах, осуществляющих обязательное пенсионное страхование	russia, government, finances, ffms	RU	Массив данных	HTML(table)														
"Список управляющих компаний победителей конкурса на право управления накопительной частью трудовой пенсии"	http://www.ffms.ru/catalog.asp?ob_no=3612	"Список управляющих компаний победителей конкурса на право управления накопительной частью трудовой пенсии"	russia, government, finances, ffms	RU	Массив данных	HTML(table)														
Список ценных бумаг иностранных эмитентов, квалифицированных ФСФР России в качестве финансовых инструментов	http://www.ffms.ru/catalog.asp?ob_no=117905	Список ценных бумаг иностранных эмитентов, квалифицированных ФСФР России в качестве финансовых инструментов	russia, government, finances, ffms	RU	Массив данных	HTML(table)														
